Drug_Name,NAFDAC_Code,Manufacturer,Category,Label
Wemy Metformin 250mg,B4-3279,Wemy Industries Limited,Medical devices,1
Vitalgrub Metformin 100mg,A4-5294,Vitalgrub Nigeria Limited,Drugs,1
Vitalgrub Artemether 500mg,03-5761,Vitalgrub Nigeria Limited,Drugs,1
Juhel Metformin 100mg,A4-2223,Juhel Nigeria Ltd,Drugs,1
Emzor Paracetamol 250mg,A3-1339,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Swiss Vitamin C 250mg,03-983339,Swiss Pharma Nigeria Ltd,Veterinary,1
Fidson Ciprofloxacin 250mg,A3-908128,Fidson Healthcare Plc,Drugs,1
Emzor Metformin 100mg,04-702696,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Wemy Metronidazole 10mg/5ml,04-7719,Wemy Industries Limited,Herbals and Nutraceuticals,1
GlaxoSmithKline Ibuprofen 500mg,A4-8966,GlaxoSmithKline Nigeria,Veterinary,1
Emzor Paracetamol 500mg,03-8880,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
May Metronidazole 10mg/5ml,04-934970,May & Baker Nigeria Plc,Veterinary,1
Juhel Ciprofloxacin 10mg/5ml,B4-8313,Juhel Nigeria Ltd,Drugs,1
Wemy Omeprazole 100mg,A4-7427,Wemy Industries Limited,Medical devices,1
Juhel Vitamin C 250mg,04-406251,Juhel Nigeria Ltd,Veterinary,1
Bliss Paracetamol 500mg,A4-6798,Bliss GVS Pharma Ltd,Veterinary,1
Wemy Loratadine 10mg/5ml,03-8499,Wemy Industries Limited,Medical devices,1
Roche Amoxicillin 250mg,A3-9196,Roche Products Limited,Medical devices,1
Sages Ibuprofen 100mg,A4-918659,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Juhel Metronidazole 100mg,A4-7513,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Roche Ciprofloxacin 10mg/5ml,A4-523157,Roche Products Limited,Veterinary,1
Sages Ibuprofen 500mg,B4-4170,Sages Multipurpose Enterprise Ltd,Drugs,1
May Metronidazole 10mg/5ml,B4-2424,May & Baker Nigeria Plc,Veterinary,1
Juhel Artemether 250mg,03-4442,Juhel Nigeria Ltd,Veterinary,1
Juhel Loratadine 250mg,B4-9613,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Bond Metformin 10mg/5ml,04-5142,Bond Chemical Industries Ltd,Medical devices,1
Aktika Loratadine 10mg/5ml,A4-8722,Aktika Global Ltd,Veterinary,1
Sages Ibuprofen 500mg,04-5439,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Sages Vitamin C 500mg,A3-311778,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Roche Paracetamol 100mg,A4-6872,Roche Products Limited,Veterinary,1
Swiss Vitamin C 500mg,A4-862529,Swiss Pharma Nigeria Ltd,Medical devices,1
Bliss Ibuprofen 100mg,04-5265,Bliss GVS Pharma Ltd,Medical devices,1
Bliss Amoxicillin 250mg,03-5804,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
GlaxoSmithKline Paracetamol 500mg,04-613333,GlaxoSmithKline Nigeria,Drugs,1
Neimeth Metformin 500mg,A3-6306,Neimeth International Pharmaceuticals,Drugs,1
Bond Paracetamol 100mg,04-2176,Bond Chemical Industries Ltd,Medical devices,1
May Ibuprofen 500mg,03-6108,May & Baker Nigeria Plc,Drugs,1
Sages Metronidazole 10mg/5ml,A4-3002,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
May Metformin 10mg/5ml,04-5147,May & Baker Nigeria Plc,Drugs,1
Juhel Artemether 500mg,B4-7775,Juhel Nigeria Ltd,Vaccines and Biologics,1
Wemy Omeprazole 500mg,B4-2106,Wemy Industries Limited,Vaccines and Biologics,1
Lady Artemether 500mg,04-9150,Lady Special Sanitary Pads Ventures,Veterinary,1
Emzor Ciprofloxacin 250mg,A4-6739,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Juhel Ibuprofen 100mg,03-2057,Juhel Nigeria Ltd,Veterinary,1
Emzor Ciprofloxacin 10mg/5ml,A3-3966,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Sages Amoxicillin 100mg,A3-3701,Sages Multipurpose Enterprise Ltd,Medical devices,1
Aktika Ibuprofen 500mg,03-5371,Aktika Global Ltd,Herbals and Nutraceuticals,1
Swiss Ibuprofen 250mg,03-4861,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Emzor Loratadine 100mg,A3-5557,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Aktika Vitamin C 10mg/5ml,04-4310,Aktika Global Ltd,Drugs,1
Bond Amoxicillin 10mg/5ml,04-9357,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Swiss Vitamin C 500mg,A4-9665,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Aktika Metronidazole 500mg,A4-2564,Aktika Global Ltd,Veterinary,1
Juhel Amoxicillin 100mg,03-7272,Juhel Nigeria Ltd,Vaccines and Biologics,1
May Loratadine 250mg,A4-525410,May & Baker Nigeria Plc,Drugs,1
Roche Omeprazole 10mg/5ml,A3-515177,Roche Products Limited,Medical devices,1
May Vitamin C 100mg,A3-4217,May & Baker Nigeria Plc,Veterinary,1
Juhel Paracetamol 500mg,B4-5666,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Sages Omeprazole 250mg,B4-2645,Sages Multipurpose Enterprise Ltd,Drugs,1
Emzor Artemether 100mg,A3-9570,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Vitalgrub Artemether 250mg,A3-815586,Vitalgrub Nigeria Limited,Medical devices,1
Juhel Ibuprofen 100mg,04-3428,Juhel Nigeria Ltd,Medical devices,1
Aktika Paracetamol 500mg,B4-402845,Aktika Global Ltd,Drugs,1
Roche Artemether 500mg,04-269635,Roche Products Limited,Drugs,1
Neimeth Amoxicillin 100mg,04-981704,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Bond Ibuprofen 250mg,A4-937270,Bond Chemical Industries Ltd,Drugs,1
Aktika Paracetamol 500mg,A4-2070,Aktika Global Ltd,Medical devices,1
Juhel Artemether 10mg/5ml,B4-178540,Juhel Nigeria Ltd,Drugs,1
Vitalgrub Metronidazole 100mg,03-2100,Vitalgrub Nigeria Limited,Drugs,1
Bond Ibuprofen 10mg/5ml,B4-8309,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Fidson Loratadine 100mg,03-645393,Fidson Healthcare Plc,Veterinary,1
Vitalgrub Metronidazole 100mg,B4-7425,Vitalgrub Nigeria Limited,Drugs,1
Bliss Vitamin C 10mg/5ml,A3-9148,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Neimeth Loratadine 500mg,03-4920,Neimeth International Pharmaceuticals,Medical devices,1
Bond Amoxicillin 500mg,04-2104,Bond Chemical Industries Ltd,Medical devices,1
Aktika Artemether 500mg,A3-2294,Aktika Global Ltd,Drugs,1
Wemy Ibuprofen 100mg,04-884498,Wemy Industries Limited,Veterinary,1
Sages Loratadine 500mg,03-8942,Sages Multipurpose Enterprise Ltd,Medical devices,1
Sages Vitamin C 100mg,03-961823,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Sages Omeprazole 500mg,A3-958846,Sages Multipurpose Enterprise Ltd,Veterinary,1
May Vitamin C 500mg,A4-5254,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Bond Loratadine 250mg,A4-2677,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Neimeth Ibuprofen 250mg,A3-2260,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Lady Metronidazole 10mg/5ml,03-9667,Lady Special Sanitary Pads Ventures,Veterinary,1
Wemy Artemether 250mg,03-643478,Wemy Industries Limited,Medical devices,1
Neimeth Vitamin C 10mg/5ml,A3-711806,Neimeth International Pharmaceuticals,Medical devices,1
Roche Amoxicillin 10mg/5ml,A4-1468,Roche Products Limited,Vaccines and Biologics,1
Juhel Metronidazole 250mg,B4-8275,Juhel Nigeria Ltd,Medical devices,1
GlaxoSmithKline Artemether 500mg,B4-7680,GlaxoSmithKline Nigeria,Medical devices,1
Roche Ciprofloxacin 100mg,A4-465494,Roche Products Limited,Medical devices,1
GlaxoSmithKline Vitamin C 100mg,A3-9692,GlaxoSmithKline Nigeria,Medical devices,1
GlaxoSmithKline Vitamin C 500mg,A4-8925,GlaxoSmithKline Nigeria,Veterinary,1
Lady Metronidazole 500mg,A3-4618,Lady Special Sanitary Pads Ventures,Drugs,1
Aktika Amoxicillin 100mg,A3-1462,Aktika Global Ltd,Vaccines and Biologics,1
GlaxoSmithKline Ciprofloxacin 10mg/5ml,B4-319162,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
May Omeprazole 10mg/5ml,B4-9051,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Vitalgrub Metformin 10mg/5ml,A3-9138,Vitalgrub Nigeria Limited,Medical devices,1
Lady Omeprazole 100mg,A3-1578,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Aktika Metronidazole 250mg,03-506985,Aktika Global Ltd,Vaccines and Biologics,1
Aktika Paracetamol 100mg,03-5433,Aktika Global Ltd,Drugs,1
Bliss Artemether 100mg,03-3275,Bliss GVS Pharma Ltd,Veterinary,1
Aktika Metformin 500mg,A3-2196,Aktika Global Ltd,Herbals and Nutraceuticals,1
Swiss Metformin 100mg,A3-2829,Swiss Pharma Nigeria Ltd,Drugs,1
Emzor Artemether 10mg/5ml,04-1025,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Roche Loratadine 10mg/5ml,04-378243,Roche Products Limited,Veterinary,1
Bliss Vitamin C 250mg,04-254510,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Sages Amoxicillin 500mg,B4-4608,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Aktika Loratadine 100mg,04-888931,Aktika Global Ltd,Herbals and Nutraceuticals,1
Vitalgrub Artemether 10mg/5ml,A3-8724,Vitalgrub Nigeria Limited,Veterinary,1
Neimeth Omeprazole 100mg,A4-270910,Neimeth International Pharmaceuticals,Drugs,1
Juhel Omeprazole 500mg,A3-5915,Juhel Nigeria Ltd,Drugs,1
Neimeth Loratadine 100mg,A3-4455,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Wemy Ciprofloxacin 500mg,04-964761,Wemy Industries Limited,Herbals and Nutraceuticals,1
Aktika Vitamin C 500mg,A3-5303,Aktika Global Ltd,Veterinary,1
Neimeth Vitamin C 250mg,A3-4703,Neimeth International Pharmaceuticals,Veterinary,1
Vitalgrub Vitamin C 100mg,A3-9038,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Wemy Metronidazole 500mg,04-5276,Wemy Industries Limited,Herbals and Nutraceuticals,1
Juhel Artemether 10mg/5ml,B4-269739,Juhel Nigeria Ltd,Medical devices,1
Aktika Vitamin C 10mg/5ml,B4-6425,Aktika Global Ltd,Vaccines and Biologics,1
Bond Loratadine 500mg,A4-2393,Bond Chemical Industries Ltd,Drugs,1
Fidson Amoxicillin 500mg,B4-9714,Fidson Healthcare Plc,Veterinary,1
Bond Loratadine 250mg,04-7758,Bond Chemical Industries Ltd,Veterinary,1
Aktika Artemether 500mg,03-1668,Aktika Global Ltd,Herbals and Nutraceuticals,1
Swiss Ciprofloxacin 10mg/5ml,A4-3482,Swiss Pharma Nigeria Ltd,Veterinary,1
Bliss Vitamin C 250mg,04-340600,Bliss GVS Pharma Ltd,Drugs,1
GlaxoSmithKline Ciprofloxacin 500mg,B4-6793,GlaxoSmithKline Nigeria,Drugs,1
Neimeth Omeprazole 250mg,04-4716,Neimeth International Pharmaceuticals,Veterinary,1
Lady Ciprofloxacin 500mg,B4-113288,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Neimeth Vitamin C 100mg,A3-5838,Neimeth International Pharmaceuticals,Medical devices,1
GlaxoSmithKline Omeprazole 250mg,A3-853170,GlaxoSmithKline Nigeria,Drugs,1
Roche Artemether 10mg/5ml,04-978743,Roche Products Limited,Drugs,1
Roche Artemether 500mg,A3-4692,Roche Products Limited,Vaccines and Biologics,1
Juhel Loratadine 500mg,04-9786,Juhel Nigeria Ltd,Veterinary,1
Aktika Metronidazole 250mg,B4-7312,Aktika Global Ltd,Medical devices,1
Bond Ibuprofen 500mg,B4-4899,Bond Chemical Industries Ltd,Medical devices,1
Bliss Omeprazole 500mg,A4-518913,Bliss GVS Pharma Ltd,Drugs,1
Vitalgrub Paracetamol 10mg/5ml,A3-7090,Vitalgrub Nigeria Limited,Medical devices,1
Aktika Ibuprofen 100mg,B4-3995,Aktika Global Ltd,Medical devices,1
Fidson Metformin 100mg,A4-8885,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Neimeth Vitamin C 100mg,B4-6782,Neimeth International Pharmaceuticals,Medical devices,1
Bliss Ciprofloxacin 10mg/5ml,03-6807,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Roche Omeprazole 500mg,A4-6085,Roche Products Limited,Drugs,1
May Vitamin C 10mg/5ml,03-3378,May & Baker Nigeria Plc,Medical devices,1
Roche Loratadine 250mg,04-659836,Roche Products Limited,Veterinary,1
Juhel Metformin 250mg,03-695380,Juhel Nigeria Ltd,Vaccines and Biologics,1
Aktika Paracetamol 10mg/5ml,04-6843,Aktika Global Ltd,Drugs,1
Fidson Loratadine 250mg,A3-5512,Fidson Healthcare Plc,Drugs,1
Bliss Artemether 500mg,04-8155,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Swiss Artemether 500mg,03-9157,Swiss Pharma Nigeria Ltd,Medical devices,1
Bond Loratadine 250mg,03-3449,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Aktika Loratadine 10mg/5ml,03-7286,Aktika Global Ltd,Vaccines and Biologics,1
May Ibuprofen 250mg,03-2053,May & Baker Nigeria Plc,Medical devices,1
GlaxoSmithKline Paracetamol 500mg,A3-7153,GlaxoSmithKline Nigeria,Veterinary,1
Emzor Ibuprofen 100mg,04-9649,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Roche Metformin 500mg,04-4350,Roche Products Limited,Vaccines and Biologics,1
May Omeprazole 100mg,A4-480176,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
May Paracetamol 250mg,B4-6804,May & Baker Nigeria Plc,Drugs,1
May Metronidazole 500mg,A3-732142,May & Baker Nigeria Plc,Vaccines and Biologics,1
Juhel Omeprazole 250mg,03-5053,Juhel Nigeria Ltd,Veterinary,1
Juhel Amoxicillin 500mg,04-7528,Juhel Nigeria Ltd,Medical devices,1
Lady Vitamin C 250mg,A4-7017,Lady Special Sanitary Pads Ventures,Medical devices,1
Lady Metronidazole 100mg,B4-261111,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
GlaxoSmithKline Amoxicillin 10mg/5ml,A4-8844,GlaxoSmithKline Nigeria,Medical devices,1
Bond Omeprazole 500mg,A4-9072,Bond Chemical Industries Ltd,Vaccines and Biologics,1
Emzor Amoxicillin 100mg,04-2558,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Juhel Omeprazole 500mg,A3-989625,Juhel Nigeria Ltd,Veterinary,1
Sages Ciprofloxacin 10mg/5ml,A3-166795,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Vitalgrub Omeprazole 500mg,B4-5678,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Swiss Loratadine 250mg,B4-8666,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Juhel Metformin 250mg,B4-269195,Juhel Nigeria Ltd,Drugs,1
Juhel Metformin 250mg,A3-2336,Juhel Nigeria Ltd,Medical devices,1
Juhel Paracetamol 10mg/5ml,B4-6093,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Bond Omeprazole 100mg,A3-817324,Bond Chemical Industries Ltd,Vaccines and Biologics,1
Neimeth Metronidazole 250mg,A3-878773,Neimeth International Pharmaceuticals,Drugs,1
Roche Vitamin C 500mg,A4-4565,Roche Products Limited,Veterinary,1
Emzor Omeprazole 100mg,04-6553,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Bond Artemether 500mg,B4-2556,Bond Chemical Industries Ltd,Drugs,1
Sages Omeprazole 100mg,B4-2376,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Bliss Metronidazole 100mg,B4-2519,Bliss GVS Pharma Ltd,Medical devices,1
Swiss Paracetamol 500mg,04-7287,Swiss Pharma Nigeria Ltd,Drugs,1
Neimeth Metformin 250mg,A4-8898,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Fidson Amoxicillin 250mg,03-6664,Fidson Healthcare Plc,Medical devices,1
Wemy Metronidazole 10mg/5ml,A3-878930,Wemy Industries Limited,Veterinary,1
GlaxoSmithKline Paracetamol 100mg,A3-3168,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Juhel Vitamin C 500mg,A4-6338,Juhel Nigeria Ltd,Medical devices,1
Fidson Amoxicillin 500mg,A4-164709,Fidson Healthcare Plc,Drugs,1
Bond Ciprofloxacin 10mg/5ml,A3-5833,Bond Chemical Industries Ltd,Drugs,1
Swiss Paracetamol 500mg,B4-5718,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Juhel Paracetamol 250mg,03-8189,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Fidson Ciprofloxacin 500mg,04-7793,Fidson Healthcare Plc,Veterinary,1
Bond Metronidazole 250mg,04-283876,Bond Chemical Industries Ltd,Veterinary,1
Wemy Ciprofloxacin 10mg/5ml,B4-855522,Wemy Industries Limited,Veterinary,1
Swiss Ibuprofen 250mg,A3-4320,Swiss Pharma Nigeria Ltd,Drugs,1
Roche Metronidazole 100mg,04-769059,Roche Products Limited,Vaccines and Biologics,1
Emzor Vitamin C 100mg,A4-8092,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Fidson Paracetamol 250mg,04-7565,Fidson Healthcare Plc,Drugs,1
Sages Artemether 10mg/5ml,A4-812212,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Wemy Metronidazole 500mg,04-3558,Wemy Industries Limited,Veterinary,1
May Metronidazole 10mg/5ml,03-825928,May & Baker Nigeria Plc,Veterinary,1
Swiss Metformin 250mg,B4-764283,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Sages Metformin 250mg,A4-5986,Sages Multipurpose Enterprise Ltd,Veterinary,1
Juhel Amoxicillin 250mg,B4-159688,Juhel Nigeria Ltd,Veterinary,1
Neimeth Ibuprofen 250mg,04-740744,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Sages Artemether 100mg,A3-158651,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Bliss Loratadine 250mg,A3-504563,Bliss GVS Pharma Ltd,Medical devices,1
Roche Metronidazole 100mg,04-4055,Roche Products Limited,Drugs,1
Neimeth Paracetamol 250mg,A4-5182,Neimeth International Pharmaceuticals,Drugs,1
Roche Metronidazole 10mg/5ml,04-3912,Roche Products Limited,Veterinary,1
May Artemether 500mg,A4-8133,May & Baker Nigeria Plc,Vaccines and Biologics,1
Wemy Metformin 500mg,A4-780808,Wemy Industries Limited,Drugs,1
Vitalgrub Ciprofloxacin 250mg,B4-7945,Vitalgrub Nigeria Limited,Medical devices,1
Sages Metformin 500mg,A3-5008,Sages Multipurpose Enterprise Ltd,Medical devices,1
Vitalgrub Metronidazole 500mg,A3-2338,Vitalgrub Nigeria Limited,Veterinary,1
Bond Artemether 100mg,A3-1324,Bond Chemical Industries Ltd,Drugs,1
Wemy Ciprofloxacin 500mg,B4-2912,Wemy Industries Limited,Drugs,1
Bliss Loratadine 10mg/5ml,B4-7381,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Juhel Artemether 100mg,A3-4613,Juhel Nigeria Ltd,Veterinary,1
Juhel Loratadine 500mg,04-2152,Juhel Nigeria Ltd,Veterinary,1
Juhel Metformin 10mg/5ml,B4-2640,Juhel Nigeria Ltd,Vaccines and Biologics,1
Emzor Ibuprofen 250mg,A4-485293,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Emzor Amoxicillin 250mg,A4-2053,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Neimeth Artemether 100mg,04-143831,Neimeth International Pharmaceuticals,Medical devices,1
Emzor Ciprofloxacin 250mg,A4-544016,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Bond Ibuprofen 500mg,A3-530952,Bond Chemical Industries Ltd,Medical devices,1
Bliss Metformin 100mg,04-6858,Bliss GVS Pharma Ltd,Veterinary,1
Wemy Ciprofloxacin 500mg,B4-837664,Wemy Industries Limited,Medical devices,1
Bliss Amoxicillin 250mg,04-9620,Bliss GVS Pharma Ltd,Medical devices,1
Aktika Omeprazole 100mg,B4-8473,Aktika Global Ltd,Medical devices,1
Swiss Paracetamol 10mg/5ml,A4-8796,Swiss Pharma Nigeria Ltd,Drugs,1
Bliss Ibuprofen 250mg,04-6824,Bliss GVS Pharma Ltd,Drugs,1
Lady Amoxicillin 500mg,03-8522,Lady Special Sanitary Pads Ventures,Drugs,1
GlaxoSmithKline Omeprazole 10mg/5ml,A4-6208,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Aktika Ibuprofen 250mg,A4-3404,Aktika Global Ltd,Drugs,1
May Metronidazole 250mg,B4-928278,May & Baker Nigeria Plc,Medical devices,1
Lady Metronidazole 100mg,B4-369696,Lady Special Sanitary Pads Ventures,Drugs,1
Fidson Metformin 10mg/5ml,04-996510,Fidson Healthcare Plc,Vaccines and Biologics,1
GlaxoSmithKline Omeprazole 10mg/5ml,A4-696045,GlaxoSmithKline Nigeria,Veterinary,1
Aktika Artemether 100mg,03-158965,Aktika Global Ltd,Veterinary,1
Bond Amoxicillin 250mg,A4-4521,Bond Chemical Industries Ltd,Medical devices,1
Roche Omeprazole 250mg,B4-8954,Roche Products Limited,Medical devices,1
Juhel Paracetamol 10mg/5ml,03-768482,Juhel Nigeria Ltd,Medical devices,1
Neimeth Metronidazole 500mg,A3-901924,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Bond Paracetamol 10mg/5ml,04-8745,Bond Chemical Industries Ltd,Drugs,1
Emzor Metformin 100mg,A4-4387,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Neimeth Paracetamol 250mg,04-704754,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
May Artemether 10mg/5ml,A4-1847,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
May Loratadine 500mg,B4-472224,May & Baker Nigeria Plc,Vaccines and Biologics,1
Bond Paracetamol 100mg,03-7768,Bond Chemical Industries Ltd,Veterinary,1
Bliss Paracetamol 10mg/5ml,A3-4886,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Bond Vitamin C 250mg,A4-1956,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Wemy Ciprofloxacin 500mg,04-4797,Wemy Industries Limited,Drugs,1
Wemy Ciprofloxacin 500mg,B4-703608,Wemy Industries Limited,Medical devices,1
Aktika Artemether 250mg,B4-3889,Aktika Global Ltd,Herbals and Nutraceuticals,1
Aktika Amoxicillin 100mg,A3-587595,Aktika Global Ltd,Vaccines and Biologics,1
Wemy Omeprazole 10mg/5ml,B4-2892,Wemy Industries Limited,Vaccines and Biologics,1
Swiss Omeprazole 250mg,03-485950,Swiss Pharma Nigeria Ltd,Veterinary,1
Wemy Vitamin C 10mg/5ml,B4-721908,Wemy Industries Limited,Veterinary,1
Lady Omeprazole 250mg,A4-9338,Lady Special Sanitary Pads Ventures,Veterinary,1
Roche Metformin 10mg/5ml,04-7139,Roche Products Limited,Drugs,1
Swiss Paracetamol 500mg,A4-3234,Swiss Pharma Nigeria Ltd,Drugs,1
Swiss Metformin 500mg,03-4311,Swiss Pharma Nigeria Ltd,Veterinary,1
Vitalgrub Amoxicillin 500mg,A3-3147,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Wemy Ibuprofen 100mg,A4-979828,Wemy Industries Limited,Drugs,1
GlaxoSmithKline Metformin 250mg,A4-900849,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Roche Ibuprofen 250mg,A3-4623,Roche Products Limited,Medical devices,1
Sages Metformin 10mg/5ml,A4-4970,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Fidson Metformin 250mg,A4-8179,Fidson Healthcare Plc,Medical devices,1
Fidson Loratadine 250mg,A4-3851,Fidson Healthcare Plc,Medical devices,1
Bliss Metformin 10mg/5ml,B4-167153,Bliss GVS Pharma Ltd,Drugs,1
Fidson Omeprazole 250mg,A3-9331,Fidson Healthcare Plc,Drugs,1
Neimeth Ibuprofen 500mg,04-9515,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Sages Amoxicillin 500mg,04-7790,Sages Multipurpose Enterprise Ltd,Medical devices,1
GlaxoSmithKline Loratadine 250mg,03-3094,GlaxoSmithKline Nigeria,Veterinary,1
Juhel Vitamin C 250mg,04-4644,Juhel Nigeria Ltd,Drugs,1
GlaxoSmithKline Artemether 250mg,04-8249,GlaxoSmithKline Nigeria,Medical devices,1
Lady Vitamin C 250mg,03-8769,Lady Special Sanitary Pads Ventures,Medical devices,1
Neimeth Omeprazole 100mg,A3-4444,Neimeth International Pharmaceuticals,Veterinary,1
Roche Paracetamol 250mg,03-6832,Roche Products Limited,Vaccines and Biologics,1
Juhel Artemether 10mg/5ml,B4-2741,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Roche Paracetamol 250mg,B4-741920,Roche Products Limited,Medical devices,1
Emzor Ciprofloxacin 100mg,04-951961,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Wemy Artemether 100mg,B4-721861,Wemy Industries Limited,Veterinary,1
May Vitamin C 100mg,B4-2357,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Roche Amoxicillin 250mg,04-8387,Roche Products Limited,Herbals and Nutraceuticals,1
Swiss Paracetamol 100mg,A4-6169,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
Neimeth Loratadine 10mg/5ml,03-721515,Neimeth International Pharmaceuticals,Veterinary,1
Roche Ibuprofen 100mg,A3-376268,Roche Products Limited,Drugs,1
Juhel Amoxicillin 10mg/5ml,04-7058,Juhel Nigeria Ltd,Vaccines and Biologics,1
Sages Vitamin C 100mg,B4-769634,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Sages Ibuprofen 500mg,B4-3730,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Aktika Ciprofloxacin 10mg/5ml,03-8738,Aktika Global Ltd,Medical devices,1
Fidson Ciprofloxacin 500mg,03-9912,Fidson Healthcare Plc,Veterinary,1
Neimeth Loratadine 100mg,B4-1731,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Juhel Metformin 500mg,03-672361,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Lady Ciprofloxacin 100mg,03-838611,Lady Special Sanitary Pads Ventures,Drugs,1
Bliss Ibuprofen 10mg/5ml,03-562159,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
May Ibuprofen 250mg,A4-2428,May & Baker Nigeria Plc,Veterinary,1
Neimeth Metronidazole 10mg/5ml,A3-752583,Neimeth International Pharmaceuticals,Medical devices,1
Bliss Loratadine 250mg,A3-648579,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Lady Paracetamol 250mg,A4-6909,Lady Special Sanitary Pads Ventures,Veterinary,1
GlaxoSmithKline Ciprofloxacin 10mg/5ml,03-555611,GlaxoSmithKline Nigeria,Veterinary,1
